origin_uic,destination_uic,origin_name,destination_name,trip_count,duration_minutes,source
87762906,87686006,Lyon Saint-Exupéry TGV,Paris Gare de Lyon,62,112,GTFS_TGV
87113001,87171926,Paris Est,Champagne-Ardenne TGV,61,41,GTFS_TGV
87741009,87741132,Chambéry - Challes-les-Eaux,Aix-les-Bains le Revard,60,10,GTFS_TGV
87753285,87751602,Pas des Lanciers,L'Estaque,59,6,GTFS_TGV
87753004,87753202,Miramas,Saint-Chamas,59,4,GTFS_TGV
87757625,87757526,Cannes,Saint-Raphaël Valescure,59,23,GTFS_TGV
87753251,87439554,Rognac,Vitrolles Aéroport Marseille Provence,59,4,GTFS_TGV
87111849,87171926,Marne-la-Vallée Chessy,Champagne-Ardenne TGV,59,29,GTFS_TGV
87753202,87753251,Saint-Chamas,Rognac,59,11,GTFS_TGV
87439554,87753285,Vitrolles Aéroport Marseille Provence,Pas des Lanciers,59,3,GTFS_TGV
87751602,87751008,L'Estaque,Marseille Saint-Charles,59,9,GTFS_TGV
87318964,87765008,Avignon TGV,Avignon Centre,58,5,GTFS_TGV
87478073,87478107,Dol-de-Bretagne,Saint-Malo,58,14,GTFS_TGV
